pantun_id,line1,line2,line3,line4,region,theme,is_complete,full_text
4014,"Pokok nangka pohon cempedak,",Pecah-pecah bunga senduduk;,"Kecil jangan disangka budak,",Gajah tersungkur oleh pelanduk.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Pokok nangka pohon cempedak, Pecah-pecah bunga senduduk;; Kecil jangan disangka budak, Gajah tersungkur oleh pelanduk."
4015,"Pokok sena kampung seberang,",Satu dahan dua cabang;,"Apabila kena getah abang,",Lalat yang liar tak boleh terbang.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Pokok sena kampung seberang, Satu dahan dua cabang;; Apabila kena getah abang, Lalat yang liar tak boleh terbang."
4016,"Pokok sena daun pun sena,",Daun jatuh dalam telaga;,"Bulan mana hari mana,",Boleh kita berjumpa pula.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Pokok sena daun pun sena, Daun jatuh dalam telaga;; Bulan mana hari mana, Boleh kita berjumpa pula."
4017,"Pongsu empat tinggal empat,",Pongsu tiga tinggal tiga;,"Aku bersungguh-sungguh tapi tak dapat,",Kalau ada kudrat aku nak cuba juga.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Pongsu empat tinggal empat, Pongsu tiga tinggal tiga;; Aku bersungguh-sungguh tapi tak dapat, Kalau ada kudrat aku nak cuba juga."
4018,"Pulau Pasir takluk Kedah,",Kulit siput di muka pintu;,"Peluk leher cium penyudah,",Perkara laut tidak menentu.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Pulau Pasir takluk Kedah, Kulit siput di muka pintu;; Peluk leher cium penyudah, Perkara laut tidak menentu."
4019,"Rama-rama terbang ke Rantau,",Tiba di Rantau membilang jari;,"Lama-lama abang merantau,",Adik yang tinggal membilang hari.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rama-rama terbang ke Rantau, Tiba di Rantau membilang jari;; Lama-lama abang merantau, Adik yang tinggal membilang hari."
4020,"Rampai-rampai di Tanjung Puri,",Pulau Pandan jauh ke tengah;,"Seronok ramai sementara tak mati,",Kalau mati dikandung tanah.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rampai-rampai di Tanjung Puri, Pulau Pandan jauh ke tengah;; Seronok ramai sementara tak mati, Kalau mati dikandung tanah."
4021,"Rumah batu atap bata,",Tempat mamak buat roti;,"Tempat tak tentu jangan kata,",Tempat gamak boleh jadi.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rumah batu atap bata, Tempat mamak buat roti;; Tempat tak tentu jangan kata, Tempat gamak boleh jadi."
4022,"Rumah besar tiang seribu,",Rumah kecil tiangnya gantang;,"Kecil mengikut ibu,",Sudah besar mengadu untung.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rumah besar tiang seribu, Rumah kecil tiangnya gantang;; Kecil mengikut ibu, Sudah besar mengadu untung."
4023,"Rumah besar tiang seribu,",Rumah kecil tiang sepuntung;,"Dari kecil timangnya ibu,",Sudah besar cari untung.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rumah besar tiang seribu, Rumah kecil tiang sepuntung;; Dari kecil timangnya ibu, Sudah besar cari untung."
4024,"Rumah kecil tiangnya empat,",Bangkit pagi merebus ketupat;,"Pecah tempurung katak melompat,",Barulah tahu timur dan barat.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rumah kecil tiangnya empat, Bangkit pagi merebus ketupat;; Pecah tempurung katak melompat, Barulah tahu timur dan barat."
4025,"Rumah kecil pelantar besar,",Saya nak jemur mengkuang pandan;,"Dari kecil sampai ke besar,",Saya nak cari sama padan.,Perak Kedah dan Perlis,Nasihat & Moral,True,"Rumah kecil pelantar besar, Saya nak jemur mengkuang pandan;; Dari kecil sampai ke besar, Saya nak cari sama padan."
